DATE-TIME,IRRADIANCE,PA,RH,TA,RAIN_INT,RAIN_DUR,RAIN_AMOUNT,WD_DIR,WD_SPD
2026-08-06 15:06:00,529.66,1007.0,70,23.9,//////////,0,0.0,142,4.4
2026-08-06 15:07:00,594.16,1007.0,70,24.7,//////////,0,0.0,168,4.6
2026-08-06 15:08:00,541.19,1007.2,69,24.4,0.62,4,2.45,168,4.5
2026-08-06 15:09:00,454.35,1007.1,72,24.4,//////////,0,0.0,207,3.2
2026-08-06 15:10:00,506.93,1007.7,71,24.3,//////////,0,0.0,146,3.2
2026-08-06 15:11:00,663.22,1007.1,69,24.4,//////////,0,0.0,162,2.2
2026-08-06 15:12:00,583.61,1007.5,71,24.1,//////////,0,0.0,139,3.9
2026-08-06 15:13:00,467.97,1007.5,71,24.0,//////////,0,0.0,172,5.6
2026-08-06 15:14:00,562.8,1007.1,71,24.8,//////////,0,0.0,169,0.5
2026-08-06 15:15:00,549.05,1007.1,73,24.1,//////////,0,0.0,200,5.1
2026-08-06 15:16:00,579.3,1007.6,68,24.9,//////////,0,0.0,160,4.3
2026-08-06 15:17:00,624.58,1007.7,72,23.7,//////////,0,0.0,133,3.1
2026-08-06 15:18:00,494.58,1007.2,70,24.4,//////////,0,0.0,169,8.8
2026-08-06 15:19:00,589.66,1007.3,66,23.9,//////////,0,0.0,139,9.5
2026-08-06 15:20:00,413.91,1007.0,70,23.9,//////////,0,0.0,143,9.8
2026-08-06 15:21:00,547.42,1007.4,69,24.4,//////////,0,0.0,193,7.5
2026-08-06 15:22:00,484.08,1007.2,70,24.3,//////////,0,0.0,117,0.5
2026-08-06 15:23:00,382.64,1007.2,79,24.4,//////////,0,0.0,171,3.5
2026-08-06 15:24:00,444.22,1007.2,71,23.7,//////////,0,0.0,177,3.6
2026-08-06 15:25:00,539.4,1007.6,71,24.2,//////////,0,0.0,182,1.6
2026-08-06 15:26:00,406.24,1007.0,74,24.2,//////////,0,0.0,155,5.3
2026-08-06 15:27:00,550.98,1006.9,66,24.5,//////////,0,0.0,144,4.9
