DATE/TIME,IRRADIANCE,PA,RH,TA,RAIN_INT,RAIN_DUR,RAIN_AMOUNT,WD_DIR,WD_SPD
2026-07-30 16:59:02,1.30,1013.1,57,23.0,//////////,00,0.0,/////,//////
2026-07-30 17:00:02,1.22,1013.0,57,23.0,//////////,00,0.0,/////,//////
2026-07-30 17:01:02,1.22,1013.0,57,22.9,//////////,00,0.0,/////,//////
2026-07-30 17:02:02,1.22,1013.0,58,22.9,//////////,00,0.0,260,4.4
2026-07-30 17:03:02,1.30,1013.0,58,22.9,//////////,00,0.0,/////,//////
2026-07-30 17:04:02,1.22,1012.9,57,22.9,//////////,00,0.0,275,3.0
2026-07-30 17:05:02,1.22,1012.9,56,22.9,//////////,00,0.0,264,2.3
2026-07-30 17:06:02,1.30,1012.9,57,22.9,//////////,00,0.0,/////,//////
2026-07-30 17:07:02,1.22,1012.9,56,22.9,//////////,00,0.0,268,4.5
2026-07-30 17:08:02,1.30,1012.8,56,22.9,//////////,00,0.0,284,3.4
2026-07-30 17:09:02,1.30,1012.8,57,22.8,//////////,00,0.0,/////,//////
2026-07-30 17:10:02,1.30,1012.8,57,22.8,//////////,00,0.0,/////,//////
